IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.5,32,0.05,100000.0,0.9,13.81,16.287,14.41,8.34
1.5,32,0.1,10000.0,0.0,16.718,16.499,16.644,0.83
1.5,32,0.1,10000.0,0.5,16.035,19.317,16.195,0.83
1.5,32,0.1,10000.0,0.9,18.479,15.735,13.033,0.83
1.5,32,0.1,100000.0,0.0,12.75,15.609,11.543,8.79
1.5,32,0.1,100000.0,0.5,14.324,15.432,8.215,8.4
1.5,32,0.1,100000.0,0.9,11.766,14.304,19.277,8.72
1.5,32,0.5,10000.0,0.0,14.361,14.558,18.047,1.34
1.5,32,0.5,10000.0,0.5,14.686,16.94,15.883,1.01
1.5,32,0.5,10000.0,0.9,14.293,15.403,14.662,0.85
1.5,32,0.5,100000.0,0.0,10.71,9.074,13.152,8.83
1.5,32,0.5,100000.0,0.5,9.935,11.304,10.393,8.98
1.5,32,0.5,100000.0,0.9,12.059,9.239,7.238,9.03
1.5,64,0.05,10000.0,0.0,16.688,21.393,14.482,0.97
1.5,64,0.05,10000.0,0.5,18.42,18.947,12.456,0.93
1.5,64,0.05,10000.0,0.9,13.433,24.474,19.332,0.93
1.5,64,0.05,100000.0,0.0,13.76,14.264,19.102,9.6
1.5,64,0.05,100000.0,0.5,16.397,11.456,14.197,10.37
1.5,64,0.05,100000.0,0.9,14.655,14.871,16.241,9.0
1.5,64,0.1,10000.0,0.0,13.195,13.71,30.233,0.93
1.5,64,0.1,10000.0,0.5,16.824,17.091,14.518,0.97
1.5,64,0.1,10000.0,0.9,17.972,16.6,11.687,0.93
1.5,64,0.1,100000.0,0.0,12.999,13.527,14.438,9.88
1.5,64,0.1,100000.0,0.5,13.034,11.469,17.359,9.07
1.5,64,0.1,100000.0,0.9,13.68,12.246,13.156,8.91
1.5,64,0.5,10000.0,0.0,12.608,19.353,15.526,0.88
1.5,64,0.5,10000.0,0.5,15.285,13.397,15.847,0.96
1.5,64,0.5,10000.0,0.9,13.284,17.533,16.421,1.33
1.5,64,0.5,100000.0,0.0,10.59,9.541,13.982,9.23
1.5,64,0.5,100000.0,0.5,11.873,9.15,8.829,9.59
1.5,64,0.5,100000.0,0.9,10.691,9.902,9.827,8.46
2.0,1,0.05,10000.0,0.0,22.5,25.784,25.803,0.81
2.0,1,0.05,10000.0,0.5,25.658,37.371,20.28,0.86
2.0,1,0.05,10000.0,0.9,20.489,27.411,25.304,0.8
2.0,1,0.05,100000.0,0.0,20.554,18.511,18.824,8.04
2.0,1,0.05,100000.0,0.5,21.89,23.48,16.323,8.14
2.0,1,0.05,100000.0,0.9,17.567,18.331,30.381,8.01
2.0,1,0.1,10000.0,0.0,22.901,29.835,23.961,0.81
2.0,1,0.1,10000.0,0.5,23.283,21.496,25.609,0.81
2.0,1,0.1,10000.0,0.9,25.033,22.031,23.262,0.81
2.0,1,0.1,100000.0,0.0,16.696,14.018,26.188,8.08
2.0,1,0.1,100000.0,0.5,18.192,12.902,18.88,8.46
2.0,1,0.1,100000.0,0.9,20.077,22.863,14.345,8.37
2.0,1,0.5,10000.0,0.0,21.727,21.692,43.3,1.04
2.0,1,0.5,10000.0,0.5,23.275,19.885,22.379,0.83
2.0,1,0.5,10000.0,0.9,19.098,23.57,29.989,0.84
2.0,1,0.5,100000.0,0.0,18.68,23.179,15.822,8.49
2.0,1,0.5,100000.0,0.5,21.652,24.116,35.02,8.43
2.0,1,0.5,100000.0,0.9,14.253,14.402,10.425,8.45
2.0,8,0.05,10000.0,0.0,21.026,27.508,24.339,0.86
2.0,8,0.05,10000.0,0.5,22.896,21.526,27.159,0.89
2.0,8,0.05,10000.0,0.9,22.477,25.35,23.007,0.87
2.0,8,0.05,100000.0,0.0,19.04,19.478,21.182,8.66
2.0,8,0.05,100000.0,0.5,19.316,21.721,17.48,8.74
2.0,8,0.05,100000.0,0.9,20.281,19.094,17.294,8.73
2.0,8,0.1,10000.0,0.0,22.976,23.565,23.798,0.89
2.0,8,0.1,10000.0,0.5,20.601,26.365,21.761,0.87
2.0,8,0.1,10000.0,0.9,21.037,26.815,21.705,0.86
2.0,8,0.1,100000.0,0.0,17.916,14.642,16.636,8.61
2.0,8,0.1,100000.0,0.5,15.987,20.292,16.382,8.68
2.0,8,0.1,100000.0,0.9,16.161,18.64,17.862,8.7
2.0,8,0.5,10000.0,0.0,19.077,20.512,25.283,0.86
2.0,8,0.5,10000.0,0.5,20.115,24.991,14.213,0.89
2.0,8,0.5,10000.0,0.9,20.589,21.768,17.625,0.88
2.0,8,0.5,100000.0,0.0,13.436,11.712,12.824,8.53
2.0,8,0.5,100000.0,0.5,10.988,15.329,15.869,8.58
2.0,8,0.5,100000.0,0.9,12.552,14.151,16.143,8.72
2.0,32,0.05,10000.0,0.0,24.908,18.205,25.088,0.87
2.0,32,0.05,10000.0,0.5,22.929,21.589,26.166,0.87
2.0,32,0.05,10000.0,0.9,24.879,17.079,25.316,0.86
2.0,32,0.05,100000.0,0.0,20.939,19.79,14.697,8.72
2.0,32,0.05,100000.0,0.5,20.062,18.6,17.82,8.72
2.0,32,0.05,100000.0,0.9,18.581,15.63,26.239,8.66
2.0,32,0.1,10000.0,0.0,24.017,20.894,20.79,1.3
2.0,32,0.1,10000.0,0.5,23.494,19.703,21.029,0.97
2.0,32,0.1,10000.0,0.9,23.901,19.592,21.912,1.13
2.0,32,0.1,100000.0,0.0,18.972,13.208,14.966,11.4
2.0,32,0.1,100000.0,0.5,17.459,16.583,16.979,9.65
2.0,32,0.1,100000.0,0.9,17.311,17.868,15.451,10.07
2.0,32,0.5,10000.0,0.0,18.077,19.939,21.882,1.19
2.0,32,0.5,10000.0,0.5,19.994,19.177,14.976,0.94
2.0,32,0.5,10000.0,0.9,17.876,22.233,20.435,1.13
2.0,32,0.5,100000.0,0.0,12.355,14.038,12.879,14.78
2.0,32,0.5,100000.0,0.5,12.026,13.714,13.169,11.58
2.0,32,0.5,100000.0,0.9,12.317,17.647,10.202,10.51
2.0,64,0.05,10000.0,0.0,25.707,23.321,17.322,1.05
2.0,64,0.05,10000.0,0.5,23.61,20.891,25.553,1.0
2.0,64,0.05,10000.0,0.9,24.934,21.84,20.768,1.14
2.0,64,0.05,100000.0,0.0,17.014,19.464,26.515,10.03
2.0,64,0.05,100000.0,0.5,18.344,21.109,20.02,9.05
2.0,64,0.05,100000.0,0.9,17.95,22.087,19.533,8.99
2.0,64,0.1,10000.0,0.0,22.94,20.5,23.348,0.91
2.0,64,0.1,10000.0,0.5,21.19,24.325,23.138,0.91
2.0,64,0.1,10000.0,0.9,20.833,18.69,30.879,0.93
2.0,64,0.1,100000.0,0.0,18.556,13.777,15.707,9.25
2.0,64,0.1,100000.0,0.5,14.78,16.235,22.117,9.07
2.0,64,0.1,100000.0,0.9,19.011,16.628,9.719,9.02
2.0,64,0.5,10000.0,0.0,18.784,17.432,24.448,0.9
2.0,64,0.5,10000.0,0.5,20.545,19.82,16.477,0.9
2.0,64,0.5,10000.0,0.9,17.726,23.659,18.984,0.91
2.0,64,0.5,100000.0,0.0,12.739,12.599,14.174,9.02
2.0,64,0.5,100000.0,0.5,11.248,12.251,17.986,9.86
2.0,64,0.5,100000.0,0.9,12.803,13.244,11.982,10.28
