IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
2.0,1,0.05,100000.0,0.0,0.79,0.761,0.857,7.9061
2.0,1,0.05,100000.0,0.5,0.772,0.804,0.571,7.839
2.0,1,0.05,100000.0,0.9,0.783,0.768,0.8,7.8644
2.0,1,0.1,10000.0,0.0,0.453,0.457,0.543,0.7856
2.0,1,0.1,10000.0,0.5,0.576,0.551,0.657,0.7976
2.0,1,0.1,10000.0,0.9,0.591,0.594,0.629,0.7835
2.0,1,0.1,40000.0,0.0,0.649,0.616,0.714,3.1738
2.0,1,0.1,40000.0,0.5,0.685,0.667,0.686,3.1369
2.0,1,0.1,40000.0,0.9,0.768,0.732,0.686,3.1766
2.0,1,0.1,100000.0,0.0,0.851,0.812,0.829,7.956
2.0,1,0.1,100000.0,0.5,0.772,0.725,0.8,7.8863
2.0,1,0.1,100000.0,0.9,0.848,0.797,0.686,8.0371
2.0,1,0.5,10000.0,0.0,0.721,0.688,0.8,0.7905
2.0,1,0.5,10000.0,0.5,0.623,0.616,0.686,0.8105
2.0,1,0.5,10000.0,0.9,0.533,0.543,0.657,0.7953
2.0,1,0.5,40000.0,0.0,0.728,0.732,0.6,3.2428
2.0,1,0.5,40000.0,0.5,0.627,0.652,0.657,3.1319
2.0,1,0.5,40000.0,0.9,0.797,0.79,0.6,3.143
2.0,1,0.5,100000.0,0.0,0.822,0.783,0.714,7.9667
2.0,1,0.5,100000.0,0.5,0.819,0.855,0.743,7.8531
2.0,1,0.5,100000.0,0.9,0.797,0.804,0.914,7.833
2.0,1,0.7,10000.0,0.0,0.572,0.551,0.629,0.8522
2.0,1,0.7,10000.0,0.5,0.609,0.623,0.657,0.7924
2.0,1,0.7,10000.0,0.9,0.627,0.601,0.629,0.826
2.0,1,0.7,40000.0,0.0,0.71,0.645,0.6,3.1297
2.0,1,0.7,40000.0,0.5,0.67,0.667,0.6,3.1497
2.0,1,0.7,40000.0,0.9,0.616,0.659,0.829,3.1333
