IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.0,64,0.5,100000.0,0.5,7.684,8.662,5.821,5.4579
1.0,64,0.5,100000.0,0.9,7.626,8.94,5.9,5.5105
1.0,64,0.7,10000.0,0.0,11.16,11.115,9.344,0.5549
1.0,64,0.7,10000.0,0.5,11.231,11.098,9.387,0.56
1.0,64,0.7,10000.0,0.9,11.184,11.156,9.331,0.5448
1.0,64,0.7,40000.0,0.0,8.618,9.472,6.835,2.1858
1.0,64,0.7,40000.0,0.5,8.639,9.569,6.873,2.2164
1.0,64,0.7,40000.0,0.9,8.925,9.193,7.056,2.2716
1.0,64,0.7,100000.0,0.0,7.263,8.911,5.417,5.6558
1.0,64,0.7,100000.0,0.5,7.232,8.789,5.417,5.4632
1.0,64,0.7,100000.0,0.9,7.407,8.521,5.559,6.2097
1.5,1,0.05,10000.0,0.0,19.482,25.783,19.671,0.5448
1.5,1,0.05,10000.0,0.5,17.538,19.775,14.408,0.5479
1.5,1,0.05,10000.0,0.9,18.016,19.351,15.38,0.5519
1.5,1,0.05,40000.0,0.0,16.33,17.805,12.46,2.1934
1.5,1,0.05,40000.0,0.5,16.034,18.845,13.453,2.1037
1.5,1,0.05,40000.0,0.9,16.325,17.741,16.697,2.0628
1.5,1,0.05,100000.0,0.0,15.097,18.611,11.459,5.224
1.5,1,0.05,100000.0,0.5,15.226,18.976,10.597,5.2029
1.5,1,0.05,100000.0,0.9,15.363,19.264,11.578,5.1523
1.5,1,0.1,10000.0,0.0,17.844,23.034,13.735,0.5156
1.5,1,0.1,10000.0,0.5,18.44,18.305,13.285,0.5107
1.5,1,0.1,10000.0,0.9,16.998,18.635,17.396,0.5136
1.5,1,0.1,40000.0,0.0,15.385,18.745,11.52,2.0542
1.5,1,0.1,40000.0,0.5,15.693,16.865,19.375,2.0602
1.5,1,0.1,40000.0,0.9,15.723,16.818,12.728,2.094
1.5,1,0.1,100000.0,0.0,15.151,15.416,12.015,5.2334
1.5,1,0.1,100000.0,0.5,13.601,16.948,9.411,5.1406
1.5,1,0.1,100000.0,0.9,13.597,15.685,11.125,5.3176
1.5,1,0.5,10000.0,0.0,15.703,16.367,23.334,0.512
1.5,1,0.5,10000.0,0.5,18.412,17.398,11.018,0.5176
1.5,1,0.5,10000.0,0.9,15.64,16.463,12.521,0.5127
1.5,1,0.5,40000.0,0.0,12.65,16.36,8.613,2.0701
1.5,1,0.5,40000.0,0.5,12.788,17.014,7.94,2.0491
1.5,1,0.5,40000.0,0.9,14.739,14.941,7.259,2.0612
1.5,1,0.5,100000.0,0.0,10.489,13.313,14.371,5.1353
1.5,1,0.5,100000.0,0.5,24.811,32.907,6.96,5.1241
1.5,1,0.5,100000.0,0.9,10.983,15.394,6.046,5.147
